,hour_ending,tot_wind,tot_solar,value
0,0,873.818,0.0,2000
1,1,872.018,0.0,1991
2,2,734.695,0.0,2133
3,3,725.868,0.0,2012
4,4,747.201,0.0,2175
5,5,857.532,0.0,2083
6,6,862.065,3.29,2137
7,7,883.326,22.92,1982
8,8,889.134,312.4,1793
9,9,911.89,904.27,1826
10,10,814.642,1434.99,1809
11,11,891.94,1662.0,1656
12,12,890.82,1653.06,1646
13,13,914.754,1435.27,1713
14,14,922.33,938.44,1550
15,15,890.06,314.85,1678
16,16,922.554,10.79,1570
17,17,905.437,0.0,1687
18,18,869.009,0.0,1525
19,19,844.467,0.0,1630
20,20,840.179,0.0,1685
21,21,818.396,0.0,1723
22,22,858.664,0.0,1629
23,23,852.378,0.0,1445
